Time,Proc,Avg
119,2,131
258,3,205
357,4,348
457,5,460
849,6,789
887,7,948
1179,8,1204
135,2,
169,3,
345,4,
442,5,
753,6,
1014,7,
1262,8,
137,2,
209,3,
325,4,
429,5,
805,6,
934,7,
1224,8,
142,2,
198,3,
390,4,
478,5,
741,6,
943,7,
1208,8,
140,2,
201,3,
336,4,
430,5,
765,6,
926,7,
1147,8,
141,2,
176,3,
352,4,
448,5,
737,6,
992,7,
1158,8,
122,2,
192,3,
345,4,
465,5,
808,6,
903,7,
1274,8,
113,2,
218,3,
361,4,
496,5,
763,6,
966,7,
1187,8,
112,2,
200,3,
351,4,
455,5,
812,6,
963,7,
1218,8,
128,2,
223,3,
356,4,
497,5,
854,6,
948,7,
1183,8,
