Time_Proc=2,Time_Proc=3,Time_Proc=4,Time_Proc=5,Time_Proc=6,Time_Proc=7,Time_Proc=8,Threads
634,409,22618,2285701,3710812,10659907,32215003,2
382,2213,4983,2286171,3954027,12375005,31700005,3
874,732,709,1744213,3555002,12875010,32985005,4
322,1098,2954,1809861,3649193,16570010,33690006,5
357,1070049,171638,2854860,4395822,17670003,32605002,6
1199,1019257,1018997,3594999,5680814,19500012,33795013,7
738013,1339176,1356969,3820952,7570011,23550004,35260008,8
721038,1359759,1758000,4430006,7925005,24189999,35375006,9
888,693341,3164114,4394007,9745006,24775563,35975006,10
5557,998870,3838670,4105937,12280637,26485000,34475004,11
